customer_id,first_name,last_name,email,gender,age,age_group,city,state,region,registration_date,loyalty_tier,total_orders,total_spent
C0019,Linda,Thomas,Thomas.Linda@gmail.com,Male,33,26-35,San Antonio,TX,South,7/10/2021,Platinum,3,1346.54
C0020,James,King,King.James@gmail.com,Male,36,36-45,San Antonio,TX,South,4/6/2022,Gold,5,4295.2
C0021,James,Miller,Miller.James@gmail.com,Male,36,36-45,San Antonio,TX,South,10/13/2021,Platinum,2,1348.12
C0022,Patricia,Thompson,Thompson.Patricia@gmail.com,Male,28,26-35,Los Angeles,CA,West,1/10/2022,Silver,4,2075.72
C0023,Patricia,Wilson,Wilson.Patricia@gmail.com,Female,33,26-35,Houston,TX,South,6/25/2022,Platinum,1,733.18
C0024,Richard,King,King.Richard@gmail.com,Female,27,26-35,Philadelphia,PA,Northeast,8/25/2022,Bronze,3,2461.78
C0025,Amira,White,White.Amira@gmail.com,Male,38,36-45,Philadelphia,PA,Northeast,4/14/2023,Platinum,2,1051.29
C0026,Charles,Williams,Williams.Charles@gmail.com,Male,26,26-35,Phoenix,AZ,Southwest,11/17/2021,Bronze,3,1877.9
C0027,Patricia,Garcia,Garcia.Patricia@gmail.com,Female,40,36-45,Houston,TX,South,12/12/2022,Bronze,2,2878.21
C0028,Jessica,King,King.Jessica@gmail.com,Male,36,36-45,Dallas,TX,South,8/12/2022,Silver,0,0
C0029,Sarah,Thompson,Thompson.Sarah@gmail.com,Male,45,36-45,San Antonio,TX,South,7/23/2022,Bronze,8,4312.98
C0030,Robert,Garcia,Garcia.Robert@gmail.com,Female,41,36-45,San Diego,CA,West,5/13/2023,Silver,1,497.59
C0031,Amira,Anderson,Anderson.Amira@gmail.com,Male,51,46+,Austin,TX,South,5/12/2022,Bronze,4,3466.08
C0032,Richard,Thompson,Thompson.Richard@gmail.com,Female,17,18-25,Houston,TX,South,2/23/2022,Platinum,3,2948.27
C0033,Omar,White,White.Omar@gmail.com,Female,35,26-35,San Diego,CA,West,6/21/2021,Bronze,1,461.52
C0034,Nour,Davis,Davis.Nour@gmail.com,Female,52,46+,Austin,TX,South,2/3/2021,Silver,5,3509.52
C0035,Barbara,Garcia,Garcia.Barbara@gmail.com,Female,29,26-35,Houston,TX,South,8/3/2022,Platinum,4,2151
C0036,Thomas,Brown,Brown.Thomas@gmail.com,Male,29,26-35,San Diego,CA,West,10/2/2021,Gold,4,2438.12
C0037,Yusuf,Johnson,Johnson.Yusuf@gmail.com,Female,29,26-35,Philadelphia,PA,Northeast,7/14/2022,Bronze,4,2757.43
C0038,Layla,Davis,Davis.Layla@gmail.com,Female,49,46+,San Antonio,TX,South,6/15/2023,Bronze,2,1221.72
C0039,Susan,Williams,Williams.Susan@gmail.com,Female,42,36-45,San Diego,CA,West,6/6/2023,Bronze,4,2242.02
C0040,Nour,Young,Young.Nour@gmail.com,Female,44,36-45,Houston,TX,South,6/1/2023,Platinum,2,1891
C0041,Jessica,Garcia,Garcia.Jessica@gmail.com,Male,25,18-25,Austin,TX,South,3/15/2023,Bronze,5,4010.92
C0042,Mary,Young,Young.Mary@gmail.com,Female,17,18-25,Houston,TX,South,6/30/2022,Silver,3,3651.41
C0043,Jennifer,Taylor,Taylor.Jennifer@gmail.com,Female,29,26-35,Austin,TX,South,10/24/2021,Gold,2,1490.13
C0044,Thomas,Brown,Brown.Thomas@gmail.com,Male,15,18-25,Phoenix,AZ,Southwest,2/8/2023,Silver,2,1379.17
C0045,Amira,Jones,Jones.Amira@gmail.com,Male,41,36-45,New York,NY,Northeast,9/13/2021,Bronze,2,2121.49
C0046,Linda,Thomas,Thomas.Linda@gmail.com,Female,16,18-25,Philadelphia,PA,Northeast,5/26/2021,Gold,4,3301.25
C0047,Jessica,Thomas,Thomas.Jessica@gmail.com,Female,25,18-25,Phoenix,AZ,Southwest,3/19/2021,Platinum,4,3142.41
C0048,Thomas,Wilson,Wilson.Thomas@gmail.com,Female,35,26-35,Los Angeles,CA,West,4/11/2022,Silver,3,2075.78
C0049,James,Williams,Williams.James@gmail.com,Female,27,26-35,Philadelphia,PA,Northeast,10/13/2022,Platinum,5,3353.02
C0050,John,Thompson,Thompson.John@gmail.com,Female,15,18-25,Philadelphia,PA,Northeast,8/12/2021,Silver,2,1239
C0051,William,Taylor,Taylor.William@gmail.com,Female,31,26-35,Houston,TX,South,12/12/2021,Gold,1,468.43
C0052,Charles,Harris,Harris.Charles@gmail.com,Female,48,46+,Austin,TX,South,11/30/2022,Bronze,3,1372.71
C0053,Ahmed,White,White.Ahmed@gmail.com,Male,49,46+,New York,NY,Northeast,5/8/2021,Bronze,2,1162.23
C0054,James,Jackson,Jackson.James@gmail.com,Male,33,26-35,San Diego,CA,West,12/7/2022,Bronze,4,2353.61
C0055,Amira,Wilson,Wilson.Amira@gmail.com,Male,46,46+,Phoenix,AZ,Southwest,11/2/2022,Silver,7,4106.92
C0056,Susan,Garcia,Garcia.Susan@gmail.com,Male,50,46+,Phoenix,AZ,Southwest,2/10/2022,Platinum,3,2192.57
C0057,Omar,Davis,Davis.Omar@gmail.com,Female,21,18-25,Phoenix,AZ,Southwest,11/3/2022,Bronze,2,1357.51
C0058,Michael,Harris,Harris.Michael@gmail.com,Male,53,46+,Los Angeles,CA,West,5/16/2021,Gold,5,3077.69
C0059,Fatima,White,White.Fatima@gmail.com,Male,30,26-35,Houston,TX,South,1/9/2021,Platinum,3,2812.58
C0060,Patricia,Jackson,Jackson.Patricia@gmail.com,Male,17,18-25,Philadelphia,PA,Northeast,5/5/2022,Bronze,2,1340.96
C0061,John,Brown,Brown.John@gmail.com,Male,36,36-45,Houston,TX,South,11/17/2021,Silver,3,2451.82
C0062,Richard,Jones,Jones.Richard@gmail.com,Male,47,46+,Phoenix,AZ,Southwest,3/12/2021,Gold,2,951.7
C0063,Lisa,Garcia,Garcia.Lisa@gmail.com,Female,53,46+,Austin,TX,South,12/26/2021,Platinum,0,0
C0064,Layla,Jones,Jones.Layla@gmail.com,Female,25,18-25,Houston,TX,South,9/23/2022,Platinum,2,903.18
C0065,Michael,Williams,Williams.Michael@gmail.com,Male,15,18-25,San Diego,CA,West,5/24/2021,Bronze,2,1293.78
C0066,Richard,Anderson,Anderson.Richard@gmail.com,Female,21,18-25,Austin,TX,South,11/19/2021,Bronze,3,2240.68
C0067,Ahmed,Williams,Williams.Ahmed@gmail.com,Male,41,36-45,Houston,TX,South,7/21/2022,Gold,4,1966.63
C0068,Lisa,Moore,Moore.Lisa@gmail.com,Male,21,18-25,Austin,TX,South,5/19/2023,Platinum,1,1481.26
C0069,Thomas,King,King.Thomas@gmail.com,Male,44,36-45,Phoenix,AZ,Southwest,2/5/2023,Silver,2,1482.5
C0070,Mary,Davis,Davis.Mary@gmail.com,Female,25,18-25,Phoenix,AZ,Southwest,1/31/2022,Bronze,3,1537.07
C0071,Ahmed,King,King.Ahmed@gmail.com,Male,31,26-35,Houston,TX,South,6/25/2022,Bronze,1,741.7
C0072,Robert,Thomas,Thomas.Robert@gmail.com,Female,39,36-45,Philadelphia,PA,Northeast,1/10/2022,Gold,3,2136.56
C0073,Sarah,Williams,Williams.Sarah@gmail.com,Male,19,18-25,Chicago,IL,Midwest,8/25/2022,Bronze,1,687.18
C0074,Michael,Johnson,Johnson.Michael@gmail.com,Male,42,36-45,New York,NY,Northeast,3/20/2023,Silver,2,1943.98
C0075,Ahmed,Martin,Martin.Ahmed@gmail.com,Female,41,36-45,Dallas,TX,South,3/10/2022,Platinum,2,1278.51
C0076,Ahmed,Thompson,Thompson.Ahmed@gmail.com,Male,50,46+,San Antonio,TX,South,10/12/2021,Bronze,7,6352.62
C0077,Thomas,Miller,Miller.Thomas@gmail.com,Male,50,46+,Phoenix,AZ,Southwest,7/4/2022,Silver,6,3141.48
C0078,Ahmed,Williams,Williams.Ahmed@gmail.com,Female,27,26-35,San Antonio,TX,South,12/17/2022,Silver,1,999.5
C0079,Linda,Williams,Williams.Linda@gmail.com,Female,51,46+,Houston,TX,South,4/29/2021,Silver,4,3706.52
C0080,Mary,Moore,Moore.Mary@gmail.com,Male,26,26-35,Austin,TX,South,5/3/2021,Bronze,3,1485.99
C0081,James,Garcia,Garcia.James@gmail.com,Female,22,18-25,Chicago,IL,Midwest,12/22/2021,Gold,3,2483.46
C0082,Yusuf,Wilson,Wilson.Yusuf@gmail.com,Male,18,18-25,Dallas,TX,South,1/16/2022,Bronze,5,3094.72
C0083,Khalid,Brown,Brown.Khalid@gmail.com,Male,21,18-25,Phoenix,AZ,Southwest,12/10/2021,Silver,3,2112.95
C0084,John,Wilson,Wilson.John@gmail.com,Male,30,26-35,Phoenix,AZ,Southwest,5/24/2022,Silver,1,729.82
C0085,Mary,Harris,Harris.Mary@gmail.com,Male,37,36-45,Dallas,TX,South,1/12/2022,Bronze,2,758.4
C0086,Patricia,Young,Young.Patricia@gmail.com,Male,19,18-25,Phoenix,AZ,Southwest,8/22/2021,Platinum,3,3443.6
C0087,Mary,Smith,Smith.Mary@gmail.com,Male,53,46+,Dallas,TX,South,2/17/2021,Silver,3,1914.43
C0088,Rania,Jones,Jones.Rania@gmail.com,Male,36,36-45,Philadelphia,PA,Northeast,5/29/2023,Bronze,1,103.61
C0089,Rania,Jackson,Jackson.Rania@gmail.com,Male,17,18-25,Dallas,TX,South,11/26/2021,Bronze,3,2273.81
C0090,David,Wilson,Wilson.David@gmail.com,Male,21,18-25,San Antonio,TX,South,8/9/2022,Silver,2,1012.03
C0091,Fatima,Johnson,Johnson.Fatima@gmail.com,Male,31,26-35,Los Angeles,CA,West,8/17/2021,Gold,6,2652.56
C0092,John,White,White.John@gmail.com,Female,36,36-45,New York,NY,Northeast,3/4/2023,Silver,2,1840.29
C0093,Karen,White,White.Karen@gmail.com,Male,50,46+,Philadelphia,PA,Northeast,1/13/2022,Bronze,3,2107.6
C0094,Nour,Moore,Moore.Nour@gmail.com,Male,28,26-35,Phoenix,AZ,Southwest,4/21/2022,Silver,1,1694.73
C0095,Hassan,Miller,Miller.Hassan@gmail.com,Male,31,26-35,Austin,TX,South,6/4/2021,Bronze,1,802.32
C0096,Linda,Thompson,Thompson.Linda@gmail.com,Female,52,46+,San Antonio,TX,South,10/14/2022,Platinum,2,499.54
C0097,James,Thomas,Thomas.James@gmail.com,Female,39,36-45,New York,NY,Northeast,4/17/2021,Bronze,2,829.99
C0098,Jessica,Harris,Harris.Jessica@gmail.com,Male,43,36-45,Dallas,TX,South,5/26/2021,Platinum,1,484.41
C0099,Mary,Davis,Davis.Mary@gmail.com,Female,49,46+,Phoenix,AZ,Southwest,12/19/2022,Silver,2,1427.27
C0100,John,Young,Young.John@gmail.com,Male,20,18-25,San Diego,CA,West,6/2/2022,Bronze,6,4270.8
C0101,Charles,Young,Young.Charles@gmail.com,Male,50,46+,San Antonio,TX,South,3/22/2022,Platinum,0,0
C0102,Barbara,Wilson,Wilson.Barbara@gmail.com,Female,43,36-45,Chicago,IL,Midwest,4/1/2023,Silver,3,2929.54
C0103,Joseph,Wilson,Wilson.Joseph@gmail.com,Male,39,36-45,Philadelphia,PA,Northeast,3/18/2021,Bronze,0,0
C0104,Hassan,Young,Young.Hassan@gmail.com,Male,19,18-25,Chicago,IL,Midwest,6/9/2021,Bronze,1,1423.55
C0105,Joseph,Taylor,Taylor.Joseph@gmail.com,Female,33,26-35,Chicago,IL,Midwest,5/4/2021,Gold,4,3796.89
C0106,Michael,White,White.Michael@gmail.com,Female,19,18-25,Philadelphia,PA,Northeast,4/20/2022,Silver,3,2645.63
C0107,Jennifer,Moore,Moore.Jennifer@gmail.com,Male,49,46+,Los Angeles,CA,West,8/9/2021,Silver,0,0
C0108,Omar,Davis,Davis.Omar@gmail.com,Female,49,46+,Chicago,IL,Midwest,2/10/2022,Gold,1,259.34
C0109,Barbara,Wilson,Wilson.Barbara@gmail.com,Male,23,18-25,New York,NY,Northeast,2/1/2021,Silver,1,131.04
C0110,Layla,Thompson,Thompson.Layla@gmail.com,Male,29,26-35,San Diego,CA,West,4/7/2021,Silver,2,1623.2
C0111,Nour,Jones,Jones.Nour@gmail.com,Male,17,18-25,Los Angeles,CA,West,1/13/2021,Bronze,2,2570.6
C0112,Michael,Thomas,Thomas.Michael@gmail.com,Female,48,46+,Houston,TX,South,12/4/2022,Platinum,4,2337.99
C0113,Charles,Wilson,Wilson.Charles@gmail.com,Male,27,26-35,Los Angeles,CA,West,1/23/2021,Bronze,1,1406.54
C0114,Joseph,Jones,Jones.Joseph@gmail.com,Male,25,18-25,Houston,TX,South,5/18/2023,Silver,1,1001.17
C0115,Joseph,Johnson,Johnson.Joseph@gmail.com,Male,52,46+,Los Angeles,CA,West,8/11/2022,Silver,6,4414.47
C0116,James,Thomas,Thomas.James@gmail.com,Female,31,26-35,San Antonio,TX,South,6/26/2021,Silver,3,2567.98
C0117,William,Wilson,Wilson.William@gmail.com,Female,45,36-45,Houston,TX,South,6/2/2021,Bronze,6,4587.3
C0118,Lisa,Davis,Davis.Lisa@gmail.com,Female,26,26-35,Austin,TX,South,5/26/2022,Silver,0,0
C0119,Mary,Williams,Williams.Mary@gmail.com,Female,32,26-35,Dallas,TX,South,1/28/2022,Bronze,5,5064.19
C0120,Ahmed,Martin,Martin.Ahmed@gmail.com,Male,45,36-45,San Antonio,TX,South,10/8/2022,Gold,2,914.35
C0121,Nour,Anderson,Anderson.Nour@gmail.com,Female,36,36-45,New York,NY,Northeast,7/12/2022,Silver,3,2351.48
C0122,Thomas,Taylor,Taylor.Thomas@gmail.com,Female,28,26-35,Philadelphia,PA,Northeast,10/4/2021,Bronze,2,1540.72
C0123,Lisa,Davis,Davis.Lisa@gmail.com,Male,39,36-45,New York,NY,Northeast,4/11/2023,Silver,3,908.49
C0124,Sarah,Martin,Martin.Sarah@gmail.com,Female,17,18-25,New York,NY,Northeast,2/25/2023,Gold,2,2017.85
C0125,Patricia,Davis,Davis.Patricia@gmail.com,Male,46,46+,Houston,TX,South,9/30/2021,Gold,4,3717.51
C0126,Linda,Young,Young.Linda@gmail.com,Female,19,18-25,New York,NY,Northeast,12/30/2021,Bronze,2,969.18
C0127,Charles,Taylor,Taylor.Charles@gmail.com,Female,43,36-45,Chicago,IL,Midwest,8/29/2022,Bronze,4,2926.05
C0128,Charles,Jones,Jones.Charles@gmail.com,Male,28,26-35,Philadelphia,PA,Northeast,5/7/2023,Silver,6,4649.35
C0129,Jennifer,Harris,Harris.Jennifer@gmail.com,Male,40,36-45,Dallas,TX,South,4/3/2021,Bronze,1,407.52
C0130,Linda,Smith,Smith.Linda@gmail.com,Female,27,26-35,Houston,TX,South,1/1/2021,Silver,3,1512.15
C0131,Nour,Jones,Jones.Nour@gmail.com,Female,44,36-45,Austin,TX,South,1/5/2023,Bronze,1,1324.13
C0132,James,Jones,Jones.James@gmail.com,Male,51,46+,Philadelphia,PA,Northeast,3/4/2023,Bronze,2,1272.62
C0133,Susan,Williams,Williams.Susan@gmail.com,Female,15,18-25,Dallas,TX,South,12/23/2022,Platinum,1,149.1
C0134,Patricia,Taylor,Taylor.Patricia@gmail.com,Female,27,26-35,San Antonio,TX,South,11/27/2021,Bronze,2,1470.95
C0135,Jessica,Harris,Harris.Jessica@gmail.com,Female,21,18-25,Chicago,IL,Midwest,6/28/2021,Platinum,4,2560.48
C0136,Khalid,King,King.Khalid@gmail.com,Female,22,18-25,Dallas,TX,South,8/17/2021,Platinum,3,2793.72
C0137,Jennifer,Thomas,Thomas.Jennifer@gmail.com,Female,17,18-25,Austin,TX,South,1/22/2023,Platinum,4,4018.68
C0138,Jennifer,Smith,Smith.Jennifer@gmail.com,Female,48,46+,Phoenix,AZ,Southwest,5/22/2023,Gold,3,2612.3
C0139,Lisa,Taylor,Taylor.Lisa@gmail.com,Male,45,36-45,New York,NY,Northeast,10/17/2022,Gold,0,0
C0140,Robert,Taylor,Taylor.Robert@gmail.com,Male,31,26-35,Los Angeles,CA,West,9/1/2021,Silver,1,738.72
C0141,Ahmed,Williams,Williams.Ahmed@gmail.com,Female,46,46+,Philadelphia,PA,Northeast,4/3/2022,Bronze,4,3405.95
C0142,Linda,Williams,Williams.Linda@gmail.com,Female,44,36-45,Phoenix,AZ,Southwest,9/20/2021,Bronze,5,4636.94
C0143,Richard,White,White.Richard@gmail.com,Female,51,46+,New York,NY,Northeast,6/20/2021,Silver,0,0
C0144,Richard,Anderson,Anderson.Richard@gmail.com,Female,14,18-25,San Diego,CA,West,4/14/2021,Silver,3,2595.09
C0145,Hassan,Davis,Davis.Hassan@gmail.com,Male,24,18-25,Austin,TX,South,4/8/2022,Bronze,3,2288.59
C0146,James,Taylor,Taylor.James@gmail.com,Female,40,36-45,New York,NY,Northeast,4/18/2021,Bronze,0,0
C0147,Khalid,Thomas,Thomas.Khalid@gmail.com,Male,46,46+,Philadelphia,PA,Northeast,1/20/2023,Bronze,1,225.94
C0148,David,King,King.David@gmail.com,Female,49,46+,Dallas,TX,South,12/23/2022,Bronze,1,714.33
C0149,Jennifer,King,King.Jennifer@gmail.com,Female,24,18-25,San Antonio,TX,South,6/10/2021,Bronze,0,0
C0150,Michael,Miller,Miller.Michael@gmail.com,Female,39,36-45,Los Angeles,CA,West,12/15/2022,Gold,2,1136.74
C0151,Fatima,Moore,Moore.Fatima@gmail.com,Female,42,36-45,Dallas,TX,South,9/1/2021,Bronze,1,556.68
C0152,Charles,Thompson,Thompson.Charles@gmail.com,Female,36,36-45,New York,NY,Northeast,6/7/2021,Bronze,2,1830.11
C0153,Jessica,Williams,Williams.Jessica@gmail.com,Female,53,46+,Philadelphia,PA,Northeast,4/24/2023,Platinum,1,733.06
C0154,Michael,Brown,Brown.Michael@gmail.com,Male,32,26-35,Austin,TX,South,7/31/2021,Bronze,4,2932.06
C0155,Sarah,Brown,Brown.Sarah@gmail.com,Female,50,46+,Phoenix,AZ,Southwest,3/15/2023,Silver,1,544.88
C0156,Khalid,Wilson,Wilson.Khalid@gmail.com,Male,32,26-35,San Diego,CA,West,10/20/2022,Gold,3,2659.58
C0157,Susan,Thomas,Thomas.Susan@gmail.com,Female,45,36-45,San Antonio,TX,South,7/11/2021,Silver,2,1493.44
C0158,Joseph,White,White.Joseph@gmail.com,Female,42,36-45,New York,NY,Northeast,8/20/2021,Silver,3,1720.83
C0159,Robert,Brown,Brown.Robert@gmail.com,Male,51,46+,Austin,TX,South,11/16/2022,Silver,4,1901.09
C0160,Hassan,Young,Young.Hassan@gmail.com,Male,35,26-35,Dallas,TX,South,7/21/2022,Bronze,5,3565.1
C0161,Thomas,Jackson,Jackson.Thomas@gmail.com,Female,17,18-25,San Antonio,TX,South,8/10/2022,Bronze,2,1697.77
C0162,John,Thomas,Thomas.John@gmail.com,Male,40,36-45,San Diego,CA,West,5/30/2022,Gold,1,713.85
C0163,Charles,King,King.Charles@gmail.com,Male,18,18-25,Dallas,TX,South,5/4/2021,Silver,3,3736.89
C0164,Michael,Miller,Miller.Michael@gmail.com,Male,46,46+,Chicago,IL,Midwest,2/13/2021,Silver,1,172
C0165,Jessica,Miller,Miller.Jessica@gmail.com,Male,23,18-25,Los Angeles,CA,West,5/5/2023,Gold,1,780.65
C0166,Rania,Williams,Williams.Rania@gmail.com,Male,39,36-45,Phoenix,AZ,Southwest,2/2/2022,Gold,5,2662.04
C0167,David,Wilson,Wilson.David@gmail.com,Female,29,26-35,San Antonio,TX,South,6/14/2023,Bronze,0,0
C0168,Thomas,Jackson,Jackson.Thomas@gmail.com,Male,27,26-35,Austin,TX,South,3/1/2022,Bronze,3,1469.89
C0169,Charles,Young,Young.Charles@gmail.com,Male,28,26-35,Chicago,IL,Midwest,4/19/2021,Gold,0,0
C0170,Barbara,Thompson,Thompson.Barbara@gmail.com,Female,18,18-25,Los Angeles,CA,West,6/18/2023,Silver,0,0
C0171,Ahmed,Harris,Harris.Ahmed@gmail.com,Female,36,36-45,Phoenix,AZ,Southwest,2/8/2021,Bronze,0,0
C0172,Robert,King,King.Robert@gmail.com,Female,35,26-35,Phoenix,AZ,Southwest,2/9/2021,Silver,3,2509.64
C0173,Linda,Johnson,Johnson.Linda@gmail.com,Female,23,18-25,Philadelphia,PA,Northeast,10/3/2021,Silver,6,5197.82
C0174,Yusuf,Moore,Moore.Yusuf@gmail.com,Female,38,36-45,New York,NY,Northeast,10/15/2021,Silver,1,1258.32
C0175,Linda,Jones,Jones.Linda@gmail.com,Female,15,18-25,Los Angeles,CA,West,2/1/2023,Silver,3,742.02
C0176,Layla,Jackson,Jackson.Layla@gmail.com,Male,41,36-45,Philadelphia,PA,Northeast,7/12/2021,Silver,3,1766.09
C0177,Jessica,Harris,Harris.Jessica@gmail.com,Female,17,18-25,Houston,TX,South,4/21/2023,Bronze,4,3476.39
C0178,Jennifer,Williams,Williams.Jennifer@gmail.com,Female,18,18-25,Dallas,TX,South,12/28/2022,Gold,0,0
C0179,Hassan,Martin,Martin.Hassan@gmail.com,Male,47,46+,San Antonio,TX,South,6/27/2021,Bronze,3,2824.87
C0180,Mary,Davis,Davis.Mary@gmail.com,Male,16,18-25,Houston,TX,South,4/13/2022,Bronze,3,2943.52
C0181,Michael,Wilson,Wilson.Michael@gmail.com,Female,22,18-25,Philadelphia,PA,Northeast,4/24/2023,Silver,3,2608.24
C0182,Ahmed,Brown,Brown.Ahmed@gmail.com,Male,36,36-45,Dallas,TX,South,9/5/2021,Silver,3,3292.08
C0183,Joseph,Garcia,Garcia.Joseph@gmail.com,Female,27,26-35,San Diego,CA,West,8/24/2022,Gold,0,0
C0184,Jennifer,Wilson,Wilson.Jennifer@gmail.com,Male,38,36-45,Philadelphia,PA,Northeast,10/19/2021,Bronze,0,0
C0185,Jennifer,Young,Young.Jennifer@gmail.com,Male,51,46+,San Antonio,TX,South,5/28/2023,Bronze,0,0
C0186,Michael,Wilson,Wilson.Michael@gmail.com,Female,23,18-25,Houston,TX,South,6/10/2022,Bronze,2,1969.46
C0187,Rania,Jones,Jones.Rania@gmail.com,Male,32,26-35,New York,NY,Northeast,9/8/2022,Bronze,2,1360.75
C0188,Lisa,Moore,Moore.Lisa@gmail.com,Female,42,36-45,Houston,TX,South,3/10/2022,Silver,3,2603.78
C0189,William,Miller,Miller.William@gmail.com,Female,33,26-35,Philadelphia,PA,Northeast,11/6/2021,Platinum,3,3069.34
C0190,Lisa,Thomas,Thomas.Lisa@gmail.com,Male,17,18-25,Dallas,TX,South,1/8/2021,Gold,3,1517.3
C0191,Ahmed,King,King.Ahmed@gmail.com,Female,28,26-35,Philadelphia,PA,Northeast,11/2/2021,Platinum,1,1376.1
C0192,John,Taylor,Taylor.John@gmail.com,Female,32,26-35,Los Angeles,CA,West,10/18/2022,Silver,3,2326.81
C0193,Ahmed,Moore,Moore.Ahmed@gmail.com,Male,42,36-45,Phoenix,AZ,Southwest,6/3/2021,Gold,1,689.13
C0194,Nour,King,King.Nour@gmail.com,Female,51,46+,Houston,TX,South,11/8/2022,Silver,4,3702.43
C0195,James,Harris,Harris.James@gmail.com,Female,21,18-25,Chicago,IL,Midwest,9/23/2021,Silver,3,2809.15
C0196,Layla,Johnson,Johnson.Layla@gmail.com,Male,36,36-45,San Antonio,TX,South,12/18/2021,Platinum,2,523.2
C0197,Karen,Harris,Harris.Karen@gmail.com,Female,23,18-25,Houston,TX,South,6/4/2022,Silver,1,750.16
C0198,Fatima,Thompson,Thompson.Fatima@gmail.com,Male,16,18-25,Chicago,IL,Midwest,10/28/2021,Bronze,3,2989.8
C0199,Layla,Wilson,Wilson.Layla@gmail.com,Male,48,46+,San Diego,CA,West,11/28/2022,Silver,2,672.02
C0200,Susan,Davis,Davis.Susan@gmail.com,Female,44,36-45,Los Angeles,CA,West,3/7/2022,Silver,0,0
C0201,Charles,Moore,Moore.Charles@gmail.com,Female,42,36-45,Philadelphia,PA,Northeast,5/22/2023,Bronze,3,3815.58
C0202,Amira,Young,Young.Amira@gmail.com,Male,51,46+,San Diego,CA,West,4/29/2022,Bronze,4,1603.13
C0203,Amira,Thomas,Thomas.Amira@gmail.com,Female,48,46+,Dallas,TX,South,2/28/2022,Bronze,6,4338.64
C0204,Michael,Taylor,Taylor.Michael@gmail.com,Female,47,46+,Chicago,IL,Midwest,8/7/2022,Silver,2,1543.8
C0205,Amira,Garcia,Garcia.Amira@gmail.com,Male,39,36-45,Chicago,IL,Midwest,5/15/2022,Silver,4,2410.45
C0206,Ahmed,Johnson,Johnson.Ahmed@gmail.com,Male,39,36-45,Chicago,IL,Midwest,4/8/2022,Silver,4,3253.96
C0207,Hassan,Garcia,Garcia.Hassan@gmail.com,Male,19,18-25,Houston,TX,South,5/17/2022,Bronze,4,1528.93
C0208,Jessica,Jackson,Jackson.Jessica@gmail.com,Female,26,26-35,Chicago,IL,Midwest,3/16/2022,Silver,2,817.89
C0209,Mary,Thompson,Thompson.Mary@gmail.com,Male,53,46+,San Antonio,TX,South,1/19/2023,Silver,4,3076.51
C0210,Hassan,Martin,Martin.Hassan@gmail.com,Male,39,36-45,New York,NY,Northeast,1/19/2021,Platinum,2,1057.44
C0211,Layla,Davis,Davis.Layla@gmail.com,Male,25,18-25,New York,NY,Northeast,12/12/2022,Silver,3,2195.68
C0212,Patricia,Thomas,Thomas.Patricia@gmail.com,Female,48,46+,Phoenix,AZ,Southwest,6/21/2021,Bronze,5,4450
